"Japanese ","Romaji ","English "
"はじめまして、僕はハレモノ","hajimemashite, boku wa haremono","Nice to meet you, I’m a cancer"
"触らないで　汚れたこの手に","sawaranaide yogoreta kono te ni","Don’t touch this dirty hand"
"心配しないで　すぐに消えるさ","shinpai shinaide sugu ni kieru sa","Don’t worry, I’ll disappear soon"
"何も残さないで","nani mo nokosanaide","Leaving nothing behind"
,,
"壮絶な哀しみや　絵になる悲劇など","souzetsu na kanashimi ya e ni naru higeki nado","Grand sorrow and perfect tragedies"
"同情の余地など何もない","doujou no yochi nado nani mo nai","And room for sympathy there’s no such things"
"どこかへ消えたいや","doko ka e kietai ya","I want to disappear somewhere"
,,
"ねぇ　どうか　僕を忘れてよ","nee douka boku o wasurete yo","Hey please forget me"
"消えたいんだ　恥ずかしいから","kietainda hazukashii kara","I want to disappear because it’s embarassing"
"誰にも迷惑はかけずに","dare ni mo meiwaku wa kakezu ni","Without causing anyone trouble"
"アトヲニゴサズ","ato o nigosazu","Leaving no trace"
,,
"他人が嫌いだ　でも　それ以上に","tanin ga kiraida demo sore ijou ni","I hate other but more than that"
"自分が嫌いだ　こっちを見ないで","jibun ga kiraida kocchi o minaide","I hate myself, don’t look at me"
"逃げ続けよう　隠れていよう","nige tsuzukeyou kakureteiyou","Let’s continue running away, let’s hide"
"ずっとずっと　いつまでも","zutto zutto itsu made mo","For a long, long time, forever"
,,
"このまま蝶になる","kono mama chou ni naru","Like this I’ll become a butterfly"
"もしくは　蝿になる","moshiku wa hae ni naru","Or maybe a fly"
"その方が　ふさわしいでしょ","sono hou ga fusawashii desho","That’s more fitting, right?"
"こんなこと　誰にも言えないな","konna koto dare ni mo ienai na","I can’t say these things to anyone"
"アトヲニゴサズ","ato o nigosazu","Leaving no trace"
,,
"どこかへ消えたいや","doko ka e kietai ya","I want to disappear somewhere"
,,
"あなたの記憶が　腐って落ちるまで","anata no kioku kusatte ochiru made","Until your memories rot and fall off"
"呼吸を忘れていよう","kokyuu o wasureteiyou","Let’s forget breathing"
"環境に配慮もした上で","kankyou ni hairyo mo shita ue de","Giving my surroundings full consideration"
"アトヲニゴサズ","ato o nigosazu","Leaving no trace"
,,
"あー　ねぇ　どうか　僕を忘れてよ","aa nee douka boku o wasurete yo","Aa hey please forget me"
"消えたいんだ　恥ずかしいから","kietainda hazukashii kara","I want to disappear because it’s embarassing"
"生きてた証はいらないな","ikiteta akashi wa iranai na","I don’t need proof that I lived"
"アトヲニゴサズ","ato o nigosazu","Leaving no trace"
